,ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
0,,98.3679148956603,28415.57583214058,10.558949998467961,296.843207792478,505.24026927891407,12.882614472289333,85.32995534051292,4.119087300328971,1
1,,103.46475866009455,27420.16742458204,8.417305032089528,,485.97450045781375,11.351132730708514,67.8699636759021,4.620793451653219,0
2,,108.91662923953173,14476.335695268315,5.398162017711099,281.198274407849,512.2323064106689,15.013793389990155,86.6714587149138,3.895572062268123,1
3,,113.17596460727073,9943.92978526269,6.337137942441213,354.29756524708256,415.3383368798727,19.67616854859483,23.07580599653685,3.787475537347365,1
4,,114.7335449715346,13677.99404000127,9.981200455815905,441.82677662870003,524.000355172102,11.384858471731945,71.15328465919002,3.2938483740192734,1
5,,116.90547929864171,27151.31290232548,10.185348221604038,,372.0023185483472,13.50723191973185,63.27369649272616,3.5162378046280005,1
6,,129.88329651550774,8906.975623139486,6.827900879738104,327.5517886889327,525.2247169516716,17.65741087353132,32.185378220561205,3.8421139861035956,1
7,,129.89057234567383,34415.853145873094,6.321928990361139,304.5352242338838,470.3291685421987,18.59940992382127,72.40363386888095,4.40558600033858,0
8,,130.55856146255113,17429.584949659697,6.3176544269347366,322.0595875907542,524.6456427603447,15.318048390229194,75.37640813561349,5.541322279631281,0
9,,134.67925657493728,30211.832990855128,4.792361012310782,234.28562144513518,391.8209641138389,18.999153524212886,,3.8408887616175593,1
10,,134.73685568990112,9000.025591189238,9.026292722975022,,428.21398699299374,8.668672182023442,74.7733924065712,3.6995580484850445,1
11,,137.2534265502834,20593.933717750395,3.961110718748797,393.68458721642264,520.410505321842,19.24955045178001,50.02993328945,3.302419289577298,0
12,,139.16974356873496,33784.82622980125,9.640520475248033,275.3319596291253,499.4281331505026,13.664485342268506,70.36836372182748,4.678745035353083,1
13,,139.95535042279025,31421.144495479497,6.627704890811055,346.44115535089605,378.7710756220023,17.544484637278742,54.798767433760005,4.536181266097956,0
14,,143.09910295231725,19290.568067632812,6.084324829707493,370.86954997899807,486.0593044064352,13.92473170382101,63.80230173372311,4.117287901677459,0
15,,143.30020028246173,16263.167465418488,6.2297365643921605,,503.66408513852423,19.5854965798938,,3.4517400465867496,1
16,,143.45373131192335,19942.273218184837,5.89075458310612,,427.1306714819022,22.46989198835695,53.12409421895881,2.90756391519334,0
17,,146.2503249373279,25623.340549256678,7.307749474382833,,464.1846060803089,8.354867121289885,69.00157465882756,3.582882368510237,0
18,,148.1031294610112,13597.896037808574,5.733147893867967,374.0183113969158,357.71106011102967,13.278895953233473,72.69549913994688,3.6195906349692635,0
19,,149.83890028554487,20283.783628580728,10.005870764598546,383.1131141299914,355.18493482653435,17.003494952277208,53.79972017895385,2.0288751732864254,0
20,,150.1749233951362,27331.361961927756,6.838223470687509,299.41578134685847,379.76183482577244,19.370807181232124,76.5099955279583,4.413974182974902,0
21,,152.50767942316656,11398.731104759814,8.728973147860508,400.66960147323704,385.3358042030552,11.67660134303543,58.600940118946525,5.444927203736903,0
22,,153.03510777751137,28504.997507756485,8.425497503748904,,346.311158574068,15.13865348444483,48.384960463149554,3.830883636685994,0
23,,154.92597170844743,30037.221624651935,5.796570971275747,252.06726719561706,311.7500192169767,13.904652296228505,77.53204198223717,4.1135850300896575,1
